hiligaynon_term,english_term,medical_category,severity,triage_level,status,expected_triage
may hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,urgent
may hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,urgent
may hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,urgent
talukap mata ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
talukap mata akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
talukap mata ko akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
talukap mata akon ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
ko talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
akon talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
ko akon talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
akon ko talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
hilanat gid gid ko talukap mata,eyelid high fever,general,Moderate,urgent,active,urgent
hilanat gid gid akon talukap mata,eyelid high fever,general,Moderate,urgent,active,urgent
hilanat gid gid ko akon talukap mata,eyelid high fever,general,Moderate,urgent,active,urgent
hilanat gid gid akon ko talukap mata,eyelid high fever,general,Moderate,urgent,active,urgent
gid hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,urgent
grabe hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,urgent
grabe gid hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,urgent
gid hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,urgent
grabe hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,urgent
grabe gid hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,urgent
gid hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,urgent
grabe hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,urgent
grabe gid hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,urgent
gid hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,urgent
grabe hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,urgent
grabe gid hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,urgent
talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,urgent
hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid ko bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid akon bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid ko akon bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid akon ko bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid gid bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
hilanat gid grabe gid bukongbukong,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid sa bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid sa bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid sa bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid sa bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,urgent
may hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,urgent
bukongbukong ko hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
bukongbukong akon hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
bukongbukong ko akon hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
bukongbukong akon ko hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
ko bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
akon bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,urgent
daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,emergency
3 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,emergency
5 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,emergency
dugay na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,emergency
bag-o lang daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,emergency
indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
3 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
5 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
dugay na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
bag-o lang indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
3 ka adlaw na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
5 ka adlaw na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
dugay na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
bag-o lang lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,emergency
gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
3 ka adlaw na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
5 ka adlaw na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
dugay na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
bag-o lang gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
3 ka adlaw na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
5 ka adlaw na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
dugay na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
bag-o lang gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,emergency
gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,emergency
3 ka adlaw na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,emergency
5 ka adlaw na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,emergency
dugay na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,emergency
bag-o lang gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,emergency
3 ka adlaw na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,emergency
5 ka adlaw na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,emergency
dugay na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,emergency
bag-o lang nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,emergency
nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,emergency
3 ka adlaw na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,emergency
5 ka adlaw na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,emergency
dugay na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,emergency
bag-o lang nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko akon ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe gid talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe gid talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe gid talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe gid talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko grabe gid talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko sa talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko sa talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko sa talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko sa talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
may naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata ko naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata akon naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata ko akon naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata akon ko naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
ko talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
akon talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
ko akon talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
akon ko talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid akon ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
