hiligaynon_pattern,english_pattern,triage_level,severity,medical_category,reason,body_system,status
budlay magginhawa ko,difficulty breathing,emergency,critical,respiratory,Emergency — breathing difficulty,respiratory,active
grabe gid nagadugo bilat ko,severe vaginal bleeding,emergency,critical,gynecologic_symptom,Emergency — severe bleeding,gynecologic_symptom,active
indi mapunggan ang dugo sa ari,uncontrolled penile bleeding,emergency,critical,male_reproductive_symptom,Emergency — uncontrolled bleeding,male_reproductive_symptom,active
masakit dughan ko,chest pain,emergency,severe,cardiovascular,Emergency — chest pain,cardiovascular,active
nagdugo ulo ko,head bleeding,emergency,critical,trauma,Auto-rule: bleeding + head,neurological,active
naguyam ko,seizure,emergency,critical,neurological,Seizure activity — emergency neurological assessment,neurological,active
nautod ari ko,penis amputation,emergency,critical,trauma,Auto-rule: amputation + penis,male_reproductive,active
wala ko maka-ihi,urinary retention,emergency,severe,urinary,Pattern rule,general,active
gakatol bilat ko,vagina itching,non_urgent,mild,dermatological,Auto-rule: itching + vagina,female_reproductive,active
galagas buhok ko,hair loss,non_urgent,mild,dermatological,Non-acute hair loss — routine consultation,dermatological,active
kakatol bilat ko,vaginal itching,non_urgent,mild,female_reproductive_symptom,Routine reproductive symptom,female_reproductive_symptom,active
sakit ulo ko,head pain,non_urgent,mild,neurological,Mild headache without neurological deficits,neurological,active
ubo ko,cough,non_urgent,mild,respiratory,Pattern rule,general,active
alta presyon ko,hypertension,urgent,moderate,cardiovascular,Elevated blood pressure symptoms — urgent monitoring,cardiovascular,active
gadugo ari ko,penile bleeding,urgent,severe,male_reproductive_symptom,Genital bleeding — urgent care,male_reproductive_symptom,active
gadugo bilat ko,vaginal bleeding,urgent,severe,gynecologic_symptom,Vaginal bleeding — urgent care,gynecologic_symptom,active
gahabok itlog ko,testicle swelling,urgent,moderate,male_reproductive,Auto-rule: swelling + testicle,male_reproductive,active
gahubag itlog ko,testicular swelling,urgent,moderate,male_reproductive_symptom,Testicular swelling — urgent evaluation,male_reproductive_symptom,active
ginabaldom gid ko,severe abdominal pain,urgent,moderate,gastrointestinal,Significant abdominal pain — urgent surgical/medical evaluation,gastrointestinal,active
ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
ginahilanat ko kag gahika ko,fever with cough,urgent,moderate,respiratory,Fever with respiratory symptoms — assess for systemic infection,respiratory,active
ginkagat sang ido ko,dog bite,urgent,moderate,infection,Animal bite — wound care and rabies prophylaxis assessment,infection,active
masakit pag-ihi ko,painful urination,urgent,moderate,urinary,Dysuria may indicate UTI — timely treatment needed,urinary,active
may nana akon mata,eye infection,urgent,moderate,infection,Eye pain with purulent discharge suggests ocular infection,infection,active
may nana sa ari ko,penile infection,urgent,severe,infection,Possible genital infection — urgent evaluation,infection,active
may nana sa bilat ko,vaginal infection,urgent,severe,infection,Possible genital infection — urgent evaluation,infection,active
gahabok dila ko,tongue swelling,emergency,severe,oral,Auto-rule: swelling + tongue,oral,active
gahabok ngabil ko,lip swelling,emergency,severe,oral,Auto-rule: swelling + lip,oral,active
gahabok tungod ko,throat swelling,emergency,severe,ent,Auto-rule: swelling + throat,ent,active
gahabok mata ko,eye swelling,urgent,moderate,eye_condition,Auto-rule: swelling + eye,ophthalmologic,active
gahabok talukap mata ko,eyelid swelling,urgent,moderate,eye_condition,Auto-rule: swelling + eyelid,ophthalmologic,active
gahabok kamot ko,hand swelling,urgent,moderate,musculoskeletal_symptom,Auto-rule: swelling + hand,musculoskeletal,active
gahabok tudlo ko,finger swelling,non_urgent,mild,musculoskeletal_symptom,Auto-rule: swelling + finger,musculoskeletal,active
gahabok bilat ko,vagina swelling,urgent,moderate,female_reproductive,Auto-rule: swelling + vagina,female_reproductive,active
gahabok ari ko,penis swelling,urgent,moderate,male_reproductive,Auto-rule: swelling + penis,male_reproductive,active
may nana mata ko,eye infection,urgent,moderate,infection,Auto-rule: pus_infection + eye,ophthalmologic,active
may nana bilat ko,vagina infection,urgent,moderate,infection,Auto-rule: pus_infection + vagina,female_reproductive,active
may nana ari ko,penis infection,urgent,moderate,infection,Auto-rule: pus_infection + penis,male_reproductive,active
nagdugo bilat ko,vagina bleeding,urgent,moderate,gynecologic,Auto-rule: bleeding + vagina,female_reproductive,active
nagdugo ari ko,penis bleeding,urgent,moderate,male_reproductive,Auto-rule: bleeding + penis,male_reproductive,active
gasakit dughan ko,chest pain,emergency,severe,cardiovascular,Auto-rule: pain + chest,cardiovascular,active
gasakit tiyan ko,abdomen pain,urgent,moderate,gastrointestinal,Auto-rule: pain + abdomen,gastrointestinal,active
gasakit itlog ko,testicle pain,urgent,moderate,male_reproductive,Auto-rule: pain + testicle,male_reproductive,active
gakatol mata ko,eye itching,non_urgent,mild,dermatological,Auto-rule: itching + eye,ophthalmologic,active
nasunog kamot ko,hand burn,urgent,moderate,burn,Auto-rule: burn + hand,musculoskeletal,active
nasunog lawas ko,body burn,emergency,severe,burn,Auto-rule: burn + body,general,active
nabali tudlo ko,finger fracture,urgent,moderate,trauma,Auto-rule: fracture + finger,musculoskeletal,active
nabali kamot ko,hand fracture,urgent,moderate,trauma,Auto-rule: fracture + hand,musculoskeletal,active
nautod tudlo ko,finger amputation,emergency,critical,trauma,Auto-rule: amputation + finger,musculoskeletal,active
grabe gid nagadugo,severe bleeding,emergency,critical,bleeding,Pattern rule,general,active
grabe gid nagdugo,severe bleeding,emergency,critical,bleeding,Pattern rule,general,active
budlay magginhawa,difficulty breathing,emergency,critical,respiratory,Pattern rule,general,active
indi ko makaginhawa,cannot breathe,emergency,critical,respiratory,Pattern rule,general,active
gasakit ulo ko,head pain,non_urgent,mild,neurological,Auto-rule: pain + head,neurological,active
gasakit mata ko,eye pain,urgent,moderate,ophthalmologic,Auto-rule: pain + eye,ophthalmologic,active
gasakit ari ko,penis pain,urgent,moderate,male_reproductive,Auto-rule: pain + penis,male_reproductive,active
gasakit bilat ko,vagina pain,urgent,moderate,female_reproductive,Auto-rule: pain + vagina,female_reproductive,active
gasakit dalunggan ko,ear pain,urgent,moderate,ent,Auto-rule: pain + ear,ent,active
gasakit tungod ko,throat pain,urgent,moderate,ent,Auto-rule: pain + throat,ent,active
gasakit likod ko,back pain,urgent,moderate,musculoskeletal,Auto-rule: pain + back,musculoskeletal,active
gasakit tuhod ko,knee pain,non_urgent,mild,musculoskeletal,Auto-rule: pain + knee,musculoskeletal,active
gasakit tudlo ko,finger pain,non_urgent,mild,musculoskeletal,Auto-rule: pain + finger,musculoskeletal,active
gahabok liog ko,neck swelling,urgent,moderate,ent,Auto-rule: swelling + neck,musculoskeletal,active
gahabok tiyan ko,abdomen swelling,urgent,moderate,gastrointestinal,Auto-rule: swelling + abdomen,gastrointestinal,active
gahabok bukongbukong ko,ankle swelling,non_urgent,mild,musculoskeletal,Auto-rule: swelling + ankle,musculoskeletal,active
gahabok tiil ko,foot swelling,non_urgent,mild,musculoskeletal,Auto-rule: swelling + foot,musculoskeletal,active
gahabok tuhod ko,knee swelling,non_urgent,mild,musculoskeletal,Auto-rule: swelling + knee,musculoskeletal,active
gahabok pisngi ko,cheek swelling,urgent,moderate,head,Auto-rule: swelling + cheek,head,active
gahabok lawas ko,body swelling,emergency,severe,allergy,Auto-rule: swelling + body,general,active
gapula mata ko,eye redness,non_urgent,mild,ophthalmologic,Auto-rule: redness + eye,ophthalmologic,active
gapula kamot ko,hand redness,non_urgent,mild,dermatological,Auto-rule: redness + hand,musculoskeletal,active
nagdugo kamot ko,hand bleeding,urgent,moderate,wound,Auto-rule: bleeding + hand,musculoskeletal,active
nagdugo tudlo ko,finger bleeding,urgent,moderate,wound,Auto-rule: bleeding + finger,musculoskeletal,active
nasunog tudlo ko,finger burn,urgent,moderate,burn,Auto-rule: burn + finger,musculoskeletal,active
nasunog tiil ko,foot burn,urgent,moderate,burn,Auto-rule: burn + foot,musculoskeletal,active
ginahilanat lawas ko,body fever,urgent,moderate,general,Auto-rule: fever + body,general,active
gahika dughan ko,chest cough,urgent,moderate,respiratory,Auto-rule: cough + chest,cardiovascular,active
may pilas kamot ko,hand wound,urgent,moderate,wound,Auto-rule: wound + hand,musculoskeletal,active
may pilas tiil ko,foot wound,urgent,moderate,wound,Auto-rule: wound + foot,musculoskeletal,active
nabali bukongbukong ko,ankle fracture,urgent,moderate,trauma,Auto-rule: fracture + ankle,musculoskeletal,active
nabali tuhod ko,knee fracture,urgent,moderate,trauma,Auto-rule: fracture + knee,musculoskeletal,active
may nana dalunggan ko,ear infection,urgent,moderate,infection,Auto-rule: pus_infection + ear,ent,active
may nana tudlo ko,finger infection,urgent,moderate,infection,Auto-rule: pus_infection + finger,musculoskeletal,active
gakatol lawas ko,body itching,non_urgent,mild,dermatological,Auto-rule: itching + body,general,active
gakatol kamot ko,hand itching,non_urgent,mild,dermatological,Auto-rule: itching + hand,musculoskeletal,active
dula ginhawa,shortness of breath,emergency,critical,respiratory,Pattern rule,general,active
masakit dughan,chest pain,emergency,severe,cardiovascular,Pattern rule,general,active
naguyam,seizure,emergency,critical,neurological,Pattern rule,general,active
nabunggo ko sa salakyan,vehicle collision,emergency,critical,trauma,Pattern rule,general,active
nakuryente,electrical injury,emergency,critical,trauma,Pattern rule,general,active
gusto ko magpakamatay,suicidal ideation,emergency,critical,mental_health,Pattern rule,general,active
gahubag lawas kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
daw indi ko makahambal,speech difficulty,emergency,severe,neurological,Pattern rule,general,active
daw indi ko makabaton,arm weakness,emergency,severe,neurological,Pattern rule,general,active
nautod,amputation,emergency,critical,trauma,Pattern rule,general,active
nagdugo ulo,head bleeding,emergency,critical,trauma,Pattern rule,general,active
ginahilanat gid,high fever,urgent,moderate,general,Pattern rule,general,active
alta presyon,hypertension,urgent,moderate,cardiovascular,Pattern rule,general,active
may nana sa,infection with pus,urgent,moderate,infection,Pattern rule,general,active
ginkagat sang ido,dog bite,urgent,moderate,infection,Pattern rule,general,active
galagas buhok,hair loss,non_urgent,mild,dermatological,Pattern rule,general,active
kakatol bilat,vaginal itching,non_urgent,mild,dermatological,Pattern rule,general,active
gapula mata,eye redness,non_urgent,mild,ophthalmologic,Pattern rule,general,active
sakit ulo,headache,non_urgent,mild,neurological,Pattern rule,general,active
daw indi ko makabaton sang kamot,arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
3 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
5 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
dugay na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
bag-o lang daw indi ko makabaton sang kamot,arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
3 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
5 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
dugay na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
bag-o lang indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
lemah ang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
3 ka adlaw na lemah ang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
5 ka adlaw na lemah ang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
dugay na lemah ang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
bag-o lang lemah ang kamot ko,hand arm weakness,emergency,severe,neurological,Combinatorial auto-rule,hand,active
3 ka adlaw na gahubag lawas kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
5 ka adlaw na gahubag lawas kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
dugay na gahubag lawas kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
bag-o lang gahubag lawas kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
gahubag lawas ko kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
3 ka adlaw na gahubag lawas ko kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
5 ka adlaw na gahubag lawas ko kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
dugay na gahubag lawas ko kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
bag-o lang gahubag lawas ko kag gakatol,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
gahubag kag gakatol lawas ko,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
3 ka adlaw na gahubag kag gakatol lawas ko,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
5 ka adlaw na gahubag kag gakatol lawas ko,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
dugay na gahubag kag gakatol lawas ko,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
bag-o lang gahubag kag gakatol lawas ko,body swelling,emergency,severe,allergy,Combinatorial auto-rule,body,active
3 ka adlaw na ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
5 ka adlaw na ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
dugay na ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
bag-o lang ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid ko talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid akon talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid ko akon talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid akon ko talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
talukap mata ko hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
talukap mata akon hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
talukap mata ko akon hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
talukap mata akon ko hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
ko talukap mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
akon talukap mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
ko akon talukap mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
akon ko talukap mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid ko talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid akon talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid ko akon talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid akon ko talukap mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
talukap mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
hilanat gid ko bukongbukong,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
hilanat gid akon bukongbukong,ankle high fever,urgent,moderate,general,Combinatorial auto-rule,ankle,active
