hiligaynon_pattern,english_pattern,triage_level,severity,medical_category,reason,body_system,status
hilanat gid gid singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid grabe singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid grabe gid singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid sa singit ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid sa singit akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid sa singit ko akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid sa singit akon ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid singit ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid singit akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid singit ko akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
may hilanat gid singit akon ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
singit ko hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
singit akon hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
singit ko akon hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
singit akon ko hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
ko singit hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
akon singit hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
ko akon singit hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
akon ko singit hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid gid ko singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid gid akon singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid gid ko akon singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid gid akon ko singit,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
gid hilanat gid singit ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe hilanat gid singit ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe gid hilanat gid singit ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
gid hilanat gid singit akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe hilanat gid singit akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe gid hilanat gid singit akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
gid hilanat gid singit ko akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe hilanat gid singit ko akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe gid hilanat gid singit ko akon,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
gid hilanat gid singit akon ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe hilanat gid singit akon ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
grabe gid hilanat gid singit akon ko,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
singit hilanat gid,groin high fever,urgent,moderate,general,Combinatorial auto-rule,groin,active
hilanat gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ko ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid akon ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ko akon ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid akon ko ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid grabe gid ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid sa ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid sa ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid sa ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid sa ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
may hilanat gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ilong ko hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ilong akon hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ilong ko akon hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ilong akon ko hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ko ilong hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
akon ilong hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ko akon ilong hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
akon ko ilong hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ko ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid akon ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid ko akon ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid gid akon ko ilong,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
gid hilanat gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe hilanat gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe gid hilanat gid ilong ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
gid hilanat gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe hilanat gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe gid hilanat gid ilong akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
gid hilanat gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe hilanat gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe gid hilanat gid ilong ko akon,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
gid hilanat gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe hilanat gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
grabe gid hilanat gid ilong akon ko,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
ilong hilanat gid,nose high fever,urgent,moderate,general,Combinatorial auto-rule,nose,active
hilanat gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid ko abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid akon abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid ko akon abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid akon ko abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid grabe gid abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid sa abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid sa abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid sa abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid sa abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
may hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
abaga ko hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
abaga akon hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
abaga ko akon hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
abaga akon ko hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
ko abaga hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
akon abaga hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
ko akon abaga hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
akon ko abaga hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid ko abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid akon abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid ko akon abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid gid akon ko abaga,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
gid hilanat gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe hilanat gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe gid hilanat gid abaga ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
gid hilanat gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe hilanat gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe gid hilanat gid abaga akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
gid hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe gid hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
gid hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
grabe gid hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
abaga hilanat gid,shoulder high fever,urgent,moderate,general,Combinatorial auto-rule,shoulder,active
hilanat gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid ko tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid akon tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid ko akon tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid akon ko tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid grabe gid tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid sa tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid sa tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid sa tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid sa tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
may hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
tiyan ko hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
tiyan akon hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
tiyan ko akon hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
tiyan akon ko hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
ko tiyan hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
akon tiyan hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
ko akon tiyan hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
akon ko tiyan hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid ko tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid akon tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid ko akon tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
hilanat gid gid akon ko tiyan,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
gid hilanat gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe hilanat gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe gid hilanat gid tiyan ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
gid hilanat gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe hilanat gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe gid hilanat gid tiyan akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
gid hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe gid hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
gid hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
grabe gid hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
tiyan hilanat gid,abdomen high fever,urgent,moderate,general,Combinatorial auto-rule,abdomen,active
